label,precision,recall,f1,support
DivisionByZero,0.0,0.0,0.0,726
DuplicateDefinition,0.0,0.0,0.0,217
ImportError,0.0,0.0,0.0,133
IndentationError,0.9861111111111112,1.0,0.993006993006993,71
InfiniteLoop,0.0,0.0,0.0,141
InvalidAssignment,0.0,0.0,0.0,236
LineTooLong,0.0,0.0,0.0,129
MissingDelimiter,1.0,0.7384615384615385,0.8495575221238938,390
MissingInclude,0.0,0.0,0.0,85
MutableDefault,0.0,0.0,0.0,76
NoError,0.19028662420382167,0.9958333333333333,0.3195187165775401,720
SyntaxError,0.0,0.0,0.0,0
TypeMismatch,0.0,0.0,0.0,386
UnclosedString,1.0,0.8782051282051282,0.9351535836177475,156
UndeclaredIdentifier,0.0,0.0,0.0,261
UnmatchedBracket,0.9565217391304348,0.6692015209125475,0.7874720357941835,263
UnreachableCode,0.0,0.0,0.0,167
UnusedVariable,0.0,0.0,0.0,327
WildcardImport,0.0,0.0,0.0,36
