true_label,predicted_label,count,rate_within_true_label,true_total
TypeMismatch,NoError,369,0.9559585492227979,386
UnusedVariable,NoError,249,0.7614678899082569,327
UndeclaredIdentifier,NoError,192,0.735632183908046,261
DivisionByZero,NoError,173,0.23829201101928374,726
InvalidAssignment,NoError,149,0.6313559322033898,236
MissingInclude,NoError,92,1.0,92
DuplicateDefinition,NoError,53,0.24423963133640553,217
ImportError,NoError,48,0.3287671232876712,146
MissingDelimiter,NoError,33,0.07838479809976247,421
InfiniteLoop,NoError,31,0.2198581560283688,141
LineTooLong,NoError,26,0.20155038759689922,129
UnclosedString,NoError,15,0.07692307692307693,195
ImportError,MissingDelimiter,11,0.07534246575342465,146
UnreachableCode,NoError,8,0.04790419161676647,167
UnmatchedBracket,NoError,7,0.02364864864864865,296
UnclosedString,UnmatchedBracket,5,0.02564102564102564,195
UnclosedString,UnusedVariable,3,0.015384615384615385,195
InvalidAssignment,UndeclaredIdentifier,3,0.012711864406779662,236
WildcardImport,ImportError,2,0.05555555555555555,36
MutableDefault,NoError,1,0.013157894736842105,76
LineTooLong,IndentationError,1,0.007751937984496124,129
ImportError,WildcardImport,1,0.00684931506849315,146
InvalidAssignment,TypeMismatch,1,0.00423728813559322,236
UndeclaredIdentifier,ImportError,1,0.0038314176245210726,261
